productId,brand,shopDomain,productName,productType,price,compareAtPrice,formFactor,mushroomTypes,variantCount,tags,url
everydaydose.com_6980606820417,Everyday Dose,everydaydose.com,60-Servings Mushroom Matcha +,Matcha 60 Servings,100.0,100.0,Powder,Other,1,"matcha, YGroup_TheDoseKit",https://everydaydose.com/products/60-servings-mushroom-matcha
everydaydose.com_7562440376385,Everyday Dose,everydaydose.com,[IN PERSON EVENTS] Starter Kit Matcha+,C+ 30 Serving Starter Kit,50.0,50.0,Powder,Other,1,"YBlocklist, YGroup_TheDoseKit",https://everydaydose.com/products/starter-kit-matcha-no-ship
everydaydose.com_7559963476033,Everyday Dose,everydaydose.com,30-Serving Coffee+ OTP,C+ 30 Serving Bag,45.0,45.0,Coffee,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-serving-coffee-otp
everydaydose.com_7552599228481,Everyday Dose,everydaydose.com,90 Servings Coffee+ Medium Roast,C+ 90 Serving Starter Kit,135.0,135.0,Coffee,Other,1,"collection-v2, medium roast, V2, YGroup_TheDoseKit",https://everydaydose.com/products/90-servings-bold-coffee
everydaydose.com_7532932005953,Everyday Dose,everydaydose.com,90 Servings of Coffee+ Medium Roast + FREE Starter Kit,C+ 90 Serving Starter Kit,135.0,,Coffee,Other,1,"collection-v2, medium roast, V2, YGroup_TheDoseKit",https://everydaydose.com/products/90-servings-of-bold-coffee-free-starter-kit
everydaydose.com_7515045822529,Everyday Dose,everydaydose.com,30 Servings Matcha+,Matcha 30 Serving Bag,50.0,50.0,Powder,Other,1,"matcha, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-mushroom-matcha-1
everydaydose.com_7515068956737,Everyday Dose,everydaydose.com,30 Servings of Coffee+ Medium Roast + FREE Starter Kit,C+ 30 Serving Starter Kit,45.0,,Coffee,Other,1,"medium roast, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-bold-coffee-free-starter-kit
everydaydose.com_7515897856065,Everyday Dose,everydaydose.com,60 Servings of Coffee + FREE Starter Kit,C+ 60 Serving Starter Kit,90.0,,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/60-servings-of-coffee-free-starter-kit
everydaydose.com_7515067613249,Everyday Dose,everydaydose.com,30-Serving Coffee+,C+ 30 Serving Bag,45.0,45.0,Coffee,"Lion's Mane, Chaga",1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/30-serving-coffee
everydaydose.com_7515899887681,Everyday Dose,everydaydose.com,90 Servings Mushroom Matcha +,Matcha 90 Servings,150.0,150.0,Powder,Other,1,"matcha, YBlocklist, YGroup_TheDoseKit",https://everydaydose.com/products/90-servings-mushroom-matcha
everydaydose.com_7515065876545,Everyday Dose,everydaydose.com,30 Servings of Coffee + FREE Starter Kit,C+ 30 Serving Starter Kit,45.0,0.0,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-mushroom-coffee-standard
