asin,brand,dateFirstAvailable,parentASIN
B07HK6J5BV,Ganoderma,,
B07HKNVXR8,Bio Pro Maitake 2 oz,,
B07HM1CDCB,Forest Origins,,
B07JMQWNR5,BareOrganics,,B09K1F1LT3
B07K66G9KW,2funguys,,B07K66G9KW
B07KJGD3VS,Umeken,,
B07KJXDXF3,Umeken,,
B07L39HDTT,Om Mushroom Superfood,,
B07L39HGLG,Om Mushroom Superfood,,
B07L3LR8M6,Om Mushroom Superfood,,
B07L4745NG,Anima Mundi Apothecary,,
B07L5RN7P3,Parker Naturals,,
B07MCLLVQM,Om Mushroom Superfood,,
B07MLL4JHP,Rising Tide,,
B07MM2YMZS,Vintage Botanical Prints | Edible,,
B07MMVVJ8T,HCL HERBAL CODE LABS,,B07MMVVJ8T
B07MTSTN2V,Double Wood Supplements,,
B07MVRHRLX,Shiitake,,
B07MVRZ732,Longevity Botanicals,,
B07MVT2HBG,Longevity Botanicals,,B07MVT2HBG
B07MWHPLYR,Nutrivein,"January 17, 2019",B07MWHPLYR
B07MX4TSWS,Herbtonics,"January 17, 2019",B07MX4TSWS
B07NDGX7CV,Life Cykel,,
B07NDH26Z2,Lifecykel,,
B07NHH7HFL,Naturealm,"June 26, 2018",B0GS72G6DG
B07NP5C2M9,Sun Alchemy,,
B07NQCGBD7,365 Whole Foods Market,,
B07NQDLF47,365 Whole Foods Market,,B07NQDLF47
B07NR976XP,365 Whole Foods Market,,
B07NRFNR16,OM MUSHROOM SUPERFOOD,"March 5, 2019",B0F4PVD473
B07NY3WR4L,FreshCap Mushrooms,"February 26, 2019",B0GS6819GT
B07P2BWC78,Micro Ingredients,,
B07P687HS7,Zhou Nutrition,,
B07P8FJK7C,LOKO nature,,B07P8FJK7C
B07PBCS3LD,Sun Alchemy,,
B07PDZS38W,Ganoderma,,
B07PFYMKDC,LRLA SUPERFOODS,,B09GJ1LRHM
B07PHTGPXT,Host Defense,,
B07PHVJ24Y,Host Defense,"March 6, 2019",B0CW3Q7JLD
B07PJZ58BG,Host Defense,,
B07PM8X5CG,Double Wood Supplements,,
B07PTNV61D,BIO KRAUTER,,B07PTNV61D
B07PV5W8XP,ONETANG,,
B07PY4XTP4,BIO KRAUTER,"March 25, 2019",B0FRM521NK
B07Q3H48C2,Prescribed For Life,,
B07Q4D7VRS,Prescribed For Life,,
B07Q4F9BLX,Prescribed For Life,,
B07Q5DZJTK,DR. EMIL NUTRITION,"March 28, 2019",B0G3CWX446
B07Q5GL3NW,Prescribed For Life,,
B07QBGSBRX,NutriFlair,"August 19, 2019",B07QBGSBRX
B07QC9DGL1,PureShrooms,,B07QC9DGL1
B07QCJGFH5,100 Grams/4 oz of Phoenix Oyster,,
B07QHJPY1L,PureShrooms,,B07QB9KW4N
B07QK6P7BZ,FRESH HEALTHCARE,"April 9, 2019",B07QK6P7BZ
B07QKRCLW3,Lion’s Mane,,
B07QVNQ91X,Shiitake,,
B07QWB89WM,Longevity Botanicals,,
B07RB2TT44,Go Nutra,,
B07RCX8LPF,Purest vantage,"May 1, 2019",B07RBFQ7HF
B07RFB7VB1,PureShrooms,,B07RFB7VB1
B07RG8MMXW,Micro Ingredients,"June 3, 2017",B0FY82HW24
B07RQVS7LZ,Four Sigmatic,,B0CHXHKRRC
B07SJHLCYT,Herbal Roots,"May 23, 2019",B07SJHLCYT
B07TC5273Y,Shroomzup,,
B07TL6HSYB,PureShrooms,,B07QB9KW4N
B07TMF3YJG,Host Defense,,B07TMF3YJG
B07TSZS4BR,HPD Rx,,
B07TV5TM5Z,Vegan Vitality,"January 31, 2021",B0DNFWZ4VV
B07V49LDB3,Anima Mundi Apothecary,,
B07V58P443,Anima Mundi Apothecary,,
B07V6Q261W,Supersmart,,B07V6Q261W
B07VFYCMK2,ShroomDNA,,
B07VLWK4GR,Keto Brainz,,
B07VS88NNH,Cherie Sweet Heart Organic Reishi,,
B07W3PBN7M,Puritan's Pride,,B07W3PBN7M
B07WF1VWTG,Host Defense,,
B07WLNXY1S,Lumos Life,"October 10, 2025",B07WLNXY1S
B07WT6RLX9,ONNIT,,
B07WVCVR78,Ambesonne,,
B07WW7G3WB,PureShrooms,,
B07WW7XM7K,PureShrooms,,
B07X2747KB,Nature's Truth,"August 7, 2019",B07X2747KB
B07YF52935,NatureBell,,
B07YNG7D5M,100 Chicken of The Woods,,
B07YXGDMHG,Laird Superfood,,
B07Z6PCDT4,American Biosciences,,
B07ZC7QXFN,Real Mushrooms,"October 21, 2019",B07ZC7QXFN
B07ZG45BLP,2funguys,,
B07ZTSKYFB,North Spore,,
B07ZWT158B,Proprietary Nootropic Gummy 3200mg,,
B07ZWTC7RC,Unknown Brand,,
B081DBVLVQ,FreshCap Mushrooms,,
B081FDD412,Laird Superfood,,B09K9SB4BW
B081FKDGSC,FreshCap Mushrooms,,
B081QKG76Q,Natura Health Products,,
B082CZ9M6V,Vita Green,"December 5, 2019",B08FD7KYDJ
B082DHLZN3,Ambesonne,,B082DGRJDS
B082XJHN2V,HERBAMAMA,,B0G6MY3FGD
B0831K7MLG,Ambesonne,,
B0831LD14Q,Ambesonne,,
B083XRXJ1P,Longevity Botanicals,,B0CR4KMLW7
B084C44G4J,Lunarable,,B084C41423
B084H2P5CV,HPD Rx,,
B084JG2XWG,Real Mushrooms,"June 23, 2015",B084JG2XWG
B084JVN2VT,Real Mushrooms,,B0GRW5PCT1
B084KGV992,OM MUSHROOM SUPERFOOD,,B084KGV992
B084KHYBDG,OM MUSHROOM SUPERFOOD,"March 31, 2020",B0DKN2SLXS
B084KQVQ9M,Nature's Nutrition,"March 25, 2020",B08FCZM9RN
B084KTXQL9,Nature's Nutrition,,B08FCZM9RN
B084KVD3RX,OM MUSHROOM SUPERFOOD,"March 16, 2020",B084KVD3RX
B084KWXRVH,Lunarable,,
B084KY9984,OM MUSHROOM SUPERFOOD,"March 16, 2020",B084KY9984
B084RJPC7H,DJ&A,,B084RNHXYW
B084ZQ6KGP,Lunarable,,B084ZQ6KGP
B084ZZ68NB,Anima Mundi Apothecary,,
B08528LXZR,Z Natural Foods,,
B0852MQVKJ,Horbäach,,
B0852MVZQB,Horbäach,,
B085D4PVLK,Stupell Industries Edible Wild,,
B085F1LJMM,Lunarable,,
B085ZL9GX6,Grateful Earth,,
B08651RFHD,Invite Health,,
B0866B33KY,HERBAMAMA,,
B086BFM9ZN,Real Mushrooms,"March 24, 2020",B086BFM9ZN
B086CL5FN3,OM MUSHROOM SUPERFOOD,"March 29, 2020",B0G7147VDG
B086LCLGDQ,Fresh Nutrition,,
B086LK9GFR,Real Mushrooms,"March 31, 2020",B093XS8FFS
B086LKQPFT,Real Mushrooms,,
B086T2Z3NM,Real Mushrooms,"February 22, 2020",B0GSQ77XF1
B086V6CSX7,HMS Nutrition,"April 5, 2020",B086V6CSX7
B086VLQQN4,NATURALGENIUS,"June 2, 2020",B086VLQQN4
B086WJ9SR7,Artizan,,
B086WMKRQ7,Real Mushrooms,"April 8, 2020",B086WMKRQ7
B086WRWJXS,NooMost,,
B086YBLHYC,Cognitive Function,,
B0872K6NJN,Neuro,,
B0872KM4T4,Nature's Lab,"April 13, 2020",B0FS1MGRLQ
B087BYB7R7,Ambesonne,,
B087Q5G3X7,Ambesonne,,
B087QTGP1D,ACEWORKZ,"April 27, 2020",B087QTGP1D
B087YCG89V,Z Natural Foods,,B087XY1DYJ
B087YHP3HQ,Four Sigmatic,,B0GGC7H8MW
B087Z3VR4H,KOS,"May 1, 2020",B0D9WDN93G
B0881NXZNY,ECO-TASTE,,B0CQQ9RD9D
B0883VBNHC,Four Sigmatic,,
B0889HJFKW,PEScience,"May 7, 2020",B0B1JPNPB1
B088C1PQ36,Double Wood Supplements,,
B088PB6JFY,Laird Superfood,,
B088XZWTN7,Doctor Danielle,,B088XZWTN7
B0892ZZMQZ,fusion foods,,B0892ZZMQZ
B089CHNZKV,VitaCup,,B0CK57GTDB
B089QVKZ6W,LOKO nature,"March 2, 2019",B089QVKZ6W
B089QVTMKS,The Herban Shaman,,B096QXFCSH
B089T7RRPZ,Shiitake,,
B089X92NVD,BulkSupplements,"June 9, 2020",B0BS9YXNHH
B089XKVG4T,BulkSupplements,,B0BS9YXNHH
B089XNB2GS,BulkSupplements,,
B089ZRYSD3,Ambesonne,,
B08B137DTG,Ambesonne,,
B08B13C2TS,Ambesonne,,
B08B13GF4X,Ambesonne,,
B08B18ZF1F,Ambesonne,,
B08BT6QP6G,Quality of Life,,
B08BWHF8BR,Greenlike,,B08BWNDJ7P
B08BWZYLTW,Greenlike,,B08BWNDJ7P
B08BXDRRNJ,Teeccino,,
B08C47SJ5B,Superfoods Company,,
B08C6RTHC7,Nature Restore Agaricus Blazei Murill,,
B08CG2SGH9,BIO KRAUTER,,
B08CGC3D8W,BIO KRAUTER,,
B08CS1NFCG,BIO KRAUTER,,
B08D1YQ2KV,Smallhold,,B08D1YQ2KV
B08DK3XC9D,OM MUSHROOM SUPERFOOD,,
B08DK956MN,OM MUSHROOM SUPERFOOD,"July 23, 2020",B0G6ZSM7Q1
B08DP52Q17,Real Mushrooms,,
B08DYZP2LP,HPD Rx,,
B08DZGQPF5,HPD Rx,,B0BRQY4VM1
B08FMW2ZD2,Vital Plan Immune Support,,
B08FRLXKJP,Four Sigmatic,,
B08FRQ9J8P,Four Sigmatic,,
B08FRSYTY3,Four Sigmatic,,
B08FRSZQXV,Four Sigmatic,,
B08FRTNMWZ,Four Sigmatic,,
B08FRVL6FM,Four Sigmatic,,
B08FV67QNK,Nutricost,"August 6, 2020",B08FV67QNK
B08G4F7G29,ECO-TASTE,"September 12, 2020",B08G4F7G29
B08G58PFZ5,Fruiting Bodies,,
B08G5CTQ1P,Orgnisulmte,,
B08GL4MJ2C,Stonehenge Health,"August 28, 2020",B08GL4MJ2C
B08GPP3NS2,NATURAURA - 4 oz of,,
B08H2JRSPH,Tribe Organics,,
B08H5LCV97,Real Mushrooms,,
B08H5Q72FG,Real Mushrooms,,
B08H9XLPJ6,Grateful Earth,,
B08HGXP9F3,Cherie Sweet Heart Organic,,
B08HLFVRB9,Horbäach,"September 4, 2020",B0GL6ZJCQJ
B08JSS48Z7,Four Sigmatic,,
B08KFNQRMG,Grateful Earth,,
B08KFQFMRN,Real Mushrooms,"September 29, 2020",B08KFQFMRN
B08KGQSWLV,Maju Superfoods,"September 30, 2020",B0FD93K9S1
B08KWN9CLP,Terrasoul Superfoods,,
B08L38CPJH,KIKI Green,,
B08L5MD69G,Grateful Earth,,B0C1MBXYVF
B08LD24D7P,Vintage Edible,,
B08LJ443YP,365 Whole Foods Market,,B0DH7FTR2M
B08LP6CZQR,Horbäach,,B08LP6CZQR
B08MVQNLNQ,Om Mushroom Superfood,,
B08N55S7T7,Ambesonne,,
B08N9F1SVP,GOBIOTIX,"November 11, 2020",B08N9F1SVP
B08NFM1Q6H,MaryRuth Organics,,
B08NFMDGRD,MARYRUTH'S,,B08NFMDGRD
B08NJM5PR8,FreshCap Mushrooms,,
B08NJMXYC9,FreshCap Mushrooms,,B08NJMXYC9
B08NPZMQW5,IM RIZKI,"November 22, 2020",B08NPZMQW5
B08NSVJKDW,Ambesonne,,
B08NTLQ2G9,Shiitake,,
B08NXR334M,Lunarable,,
B08PCBYQFK,PURE ORIGINAL INGREDIENTS,,B08PCBYQFK
B08PDD2P9N,OM MUSHROOM SUPERFOOD,"November 20, 2020",B0DKN2SLXS
B08PVZBZLM,MINDHONEY,"February 1, 2021",B08PVZBZLM
B08PW4JHB4,FreshCap Mushrooms,,
B08PXT9L44,Olympian Labs 10X,,
B08PY7GZ16,RAW Forest Foods,,B08PY7GZ16
B08PY9GLCJ,RAW Forest Foods,,
B08QB8GGGF,One Farm WAAYB,"December 10, 2020",B0DYGFHWDB
B08QFLWVJX,Four Sigmatic,,B0D1GTZXXL
B08QFS6LQX,OM MUSHROOM SUPERFOOD,"December 11, 2020",B08QFS6LQX
B08QJR7K6P,PURE ORIGINAL INGREDIENTS,,B0CLM58BQ5
B08QJTHN94,PURE ORIGINAL INGREDIENTS,,
B08QW6MQS4,Ancient Nutrition,"December 17, 2020",B08QW6MQS4
B08QW6VBHH,Ancient Nutrition,,B08QW6VBHH
B08QW7RSMJ,Ancient Nutrition,,
B08SPSL2KZ,Sayan,,
B08SR3XFTV,Sayan,"January 12, 2021",B08SR3XFTV
B08T6G8FBQ,VitaCup,,
B08TKCY15M,Eversio Wellness,,
B08VBZL2YN,Prince Herb,"January 5, 2021",B08VBZL2YN
B08VL74XR2,Simple-Organics,,B08VL74XR2
B08VRHGW22,OM MUSHROOM SUPERFOOD,,B08VRHGW22
B08W21WDQT,NEW ROOTS HERBAL,,
B08WQ25VVQ,Eversio Wellness,,B08WQ25VVQ
B08WR4XKHZ,Eversio Wellness,,B08WR4XKHZ
B08WRBNRBW,MARYRUTH'S,"February 19, 2021",B08WRBNRBW
B08WT6WC2B,Real Mushrooms,,B08WT6WC2B
B08WXF74PB,Liquid Fungi,,B08WX8N6C7
B08X14NVXL,Naturalma,,
B08X1KQ9TT,Naturalma,,B0CVNJGYX9
B08X1VZW39,Naturalma,,
B08X4XV7G3,Real Mushrooms,,
B08X4Y1SJS,Real Mushrooms,,
B08XBC9FVJ,Carlyle,,
B08XBJKX2F,Carlyle,"February 22, 2021",B08XBJKX2F
B08XQ28S6N,| Reishi,,
B08Y63Y1X5,PURE ORIGINAL INGREDIENTS,,
B08YHCRDR7,PureShrooms,,B07QB9KW4N
B08Z9L3D3R,Gaia Herbs,"March 17, 2021",B08Z9L3D3R
B08Z9NHD2L,Gaia Herbs,,B0BRTB5X5K
